id,sample.type,sample.weight,n.retention.time,n.response,n.weight.mg,n.weight.percent,c.retention.time,c.response,c.weight.mg,c.weight.percent
Bypass,bypass,0,2.349,1635.612,0.837,42.425,3.412,5678.712,1.136,57.575
Bypass,bypass,0,2.189,143.349,0.073,9.703,3.481,3413.09,0.683,90.297
Blank,blank,0,2.327,5.157,0.003,100,,,,
Blank,blank,0,,,,,,,,
Standard,std,0.095,2.168,20.465,0.01,11.021,3.607,344.304,0.069,72.474
Standard,std,0.23,2.155,39.593,0.02,8.807,3.576,794.121,0.159,69.043
Standard,std,0.46,2.156,83.618,0.043,9.3,3.543,1662.085,0.332,72.253
Standard,std,0.79,2.157,159.42,0.082,10.324,3.488,3004.421,0.601,76.049
Standard,std,0.945,2.159,187.067,0.096,10.127,3.476,3512.014,0.702,74.317
Standard,std,2.2,2.164,453.848,0.232,10.554,3.335,8046.354,1.609,73.137
Standard,std,3.08,2.169,621.129,0.318,10.317,3.277,10689.455,2.138,69.401
QC,unknown,1.83,2.168,369.336,0.189,10.325,3.368,6554.229,1.311,71.62
r13_hn_ni_focal,unknown,1.725,2.184,174.549,0.089,5.177,3.465,4040.355,0.808,46.837
r13_ln_ni_focal,unknown,2.832,2.195,224.962,0.115,4.064,3.405,6140.268,1.228,43.357
r13_ln_yi_focal,unknown,2.587,2.184,241.343,0.123,4.773,3.405,5704.781,1.141,44.096
r14_hn_ni_focal,unknown,2.98,2.179,353.001,0.181,6.06,3.372,6535.843,1.307,43.858
r14_hn_yi_focal,unknown,2.757,2.177,336.782,0.172,6.249,3.38,6178.592,1.236,44.814
r14_ln_ni_focal,unknown,2.855,2.18,188.653,0.097,3.381,3.377,6163.397,1.232,43.169
r14_ln_yi_focal,unknown,2.455,2.168,272.662,0.139,5.682,3.399,5411.722,1.082,44.08
r15_hn_ni_focal,unknown,2.42,2.159,296.685,0.152,6.272,3.4,5314.114,1.063,43.911
r15_hn_yi_focal,unknown,2.178,2.161,249.406,0.128,5.858,3.415,4880.06,0.976,44.805
r15_ln_ni_focal,unknown,2.617,2.169,238.927,0.122,4.671,3.392,5773.151,1.154,44.113
r15_ln_yi_focal,unknown,2.16,2.16,240.444,0.123,5.695,3.417,5004.985,1.001,46.335
QC,unknown,1.483,2.152,301.208,0.154,10.391,3.404,5399.889,1.08,72.812
r16_hn_ni_focal,unknown,2.451,2.175,332.265,0.17,6.935,3.425,5346.806,1.069,43.623
r16_hn_yi_focal,unknown,2.577,2.173,389.981,0.2,7.742,3.403,5754.382,1.151,44.652
r16_ln_ni_focal,unknown,2.25,2.177,173.637,0.089,3.948,3.424,4929.999,0.986,43.815
r16_ln_yi_focal,unknown,2.776,2.179,333.353,0.171,6.143,3.384,6149.402,1.23,44.297
