id,sample.type,sample.weight,n.retention.time,n.response,n.rb,n.weight.mg,n.weight.percent,n.peak.type,n.element.name,c.retention.time,c.response,c.rb,c.weight.mg,c.weight.percent,c.peak.type,c.element.type
Bypass,bypass,0,2.401,1689.997,A,1.022,76.306,Ordnr,Nitrogen,3.672,1798.867,A,0.317,23.694,Ordnr,Carbon
Bypass,bypass,0,2.247,384.767,A,0.184,10.151,Ordnr,Nitrogen,3.441,8737.559,A,1.627,89.849,Ordnr,Carbon
Blank,blank,0,2.349,17.567,A,0.01,100,Ordnr,Nitrogen,,,,,,,
Blank,blank,0,2.337,13.668,A,0.008,100,Ordnr,Nitrogen,,,,,,,
Standard,std,0.105,2.207,32.911,A,0.017,16.272,Ordnr,Nitrogen,3.724,455.157,A,0.094,89.05,Ordnr,Carbon
Standard,std,0.232,2.2,50.793,A,0.025,10.873,Ordnr,Nitrogen,3.693,862.122,A,0.16,69.174,Ordnr,Carbon
Standard,std,0.49,2.188,83.229,A,0.04,8.178,Ordnr,Nitrogen,3.659,1550.202,A,0.275,56.188,Ordnr,Carbon
Standard,std,0.75,2.196,157.871,A,0.075,9.956,Ordnr,Nitrogen,3.608,2958.606,A,0.517,68.933,Ordnr,Carbon
Standard,std,0.98,2.195,204.028,A,0.096,9.835,Ordnr,Nitrogen,3.579,3821.712,A,0.67,68.354,Ordnr,Carbon
Standard,std,2.1,2.208,468.667,A,0.226,10.757,Ordnr,Nitrogen,3.437,8349.307,A,1.545,73.584,Ordnr,Carbon
Standard,std,2.98,2.212,621.609,A,0.305,10.242,Ordnr,Nitrogen,3.387,10828.783,A,2.094,70.281,Ordnr,Carbon
QC,unknown,1.553,2.207,326.774,A,0.155,10.002,Ordnr,Nitrogen,3.513,5951.163,A,1.065,68.557,Ordnr,Carbon
r12_ln_ni_tr,unknown,1.608,2.212,38.055,A,0.019,1.208,Ordnr,Nitrogen,3.58,4059.567,A,0.713,44.321,Ordnr,Carbon
r6_ln_yi_tr,unknown,1.75,2.219,50.935,A,0.025,1.445,Ordnr,Nitrogen,3.565,4447.568,A,0.783,44.753,Ordnr,Carbon
r10_ln_ni_tr,unknown,2.008,2.217,43.848,A,0.022,1.099,Ordnr,Nitrogen,3.553,4785.309,A,0.845,42.094,Ordnr,Carbon
r3_hn_ni_nod,unknown,1.938,2.212,143.435,A,0.068,3.505,Ordnr,Nitrogen,3.536,5207.175,A,0.924,47.662,Ordnr,Carbon
r3_hn_ni_tr,unknown,2.195,2.217,39.873,A,0.02,0.923,Ordnr,Nitrogen,3.525,5511.086,A,0.981,44.686,Ordnr,Carbon
r1_hn_yi_tr,unknown,1.296,2.216,26.769,A,0.014,1.103,Ordnr,Nitrogen,3.605,3401.711,A,0.595,45.911,Ordnr,Carbon
r2_hn_yi_tr,unknown,1.453,2.227,23.761,A,0.013,0.89,Ordnr,Nitrogen,3.601,3604.838,A,0.631,43.434,Ordnr,Carbon
r5_hn_ni_tr,unknown,2.856,2.228,83.683,A,0.04,1.41,Ordnr,Nitrogen,3.479,7045.807,A,1.279,44.775,Ordnr,Carbon
QC,unknown,1.048,2.203,214.794,A,0.101,9.683,Ordnr,Nitrogen,3.565,4116.433,A,0.723,68.985,Ordnr,Carbon
r8_ln_yi_tr,unknown,1.711,2.187,32.847,A,0.017,0.997,Ordnr,Nitrogen,3.537,4429.813,A,0.78,45.584,Ordnr,Carbon
r8_hn_yi_tr,unknown,1.117,2.207,32.644,A,0.017,1.519,Ordnr,Nitrogen,3.611,2930.708,A,0.512,45.847,Ordnr,Carbon
r11_hn_ni_tr,unknown,2.506,2.212,69.515,A,0.034,1.348,Ordnr,Nitrogen,3.485,6297.515,A,1.132,45.153,Ordnr,Carbon
