"id","rep","n.trt","inoc","block","machine","anet","vcmax","vcmax25","jmax","jmax25","rd","rd25","tpu","rd25.vcmax25","jmax25.vcmax25","gsw","ci.ca","pnue","iwue","vcmax.gs","narea.gs","sla","focal.area","focal.biomass","leaf.n","leaf.cn","narea","tgrow","ci","ca","total.leaf.area","leaf.c","ecst.mau","gh.","leaf.angle","leaf.temp.differential","lef","par","npq.t","phi.2","phi.no","phi.npq","ps1.active.centers","ps1.open.centers","ps1.overreduced.centers","ps1.oxidized.centers","relative.chlorophyll","leaf.thickness","vh.plus"
"r1_hn_ni","01","HN","NI",1,"nvg",13.81840144,86.4490571762987,73.7931953847065,90.4621197289931,81.3375103805176,0.2963403695,0.293491643935732,NA,0.00397721825712615,1.10223591696335,0.209328513,0.692004945604746,10.429487170899,66.0129919329241,412.982712853354,6.32945712969644,490.740740740741,43.725,0.0891,6.502,6.77406951707167,1.3249358490566,27.5325199764982,270.4016245,390.751,1065.755,44.045,4e-05,-855.651,40.584,-0.73,5.6088045,21.306,2.361,0.585,0.124,0.292,1.041,0.076,-0.127,1.051,39.24,5.37,-0.034
"r1_hn_yi","01","HN","YI",1,"nvg",8.93958573,91.5049997033938,74.2918239148842,79.4815855723843,69.1341668667764,1.81021606583333,1.77276541499807,NA,0.0238621872714973,0.930575711076673,0.091163626,0.567916066770864,7.68438664753058,98.0608837344842,1003.74462621083,12.7610554013438,574.722483537159,61.093,0.1063,6.686,6.67588991923422,1.16334408197338,27.5325199764982,223.8293519,394.124,1139.143,44.635,8e-05,57.773,43.118,-2.65,6.4273032,20.912,1.007,0.683,0.158,0.159,0.564,0.345,-0.21,0.865,41.15,3.57,0.005
"r1_ln_ni","01","LN","NI",1,"alb",12.66444311,75.3965101413355,65.9965811006753,81.1991447647253,74.2409028169125,0.5151096615,0.506669270821291,5.79535224883333,0.00767720482441941,1.12492043646414,0.334419948,0.80950063199231,14.4517662640458,37.8698794307569,225.454583652215,2.62043259895315,575.585585585586,44.723,0.0777,5.044,8.68992862807296,0.876324933479418,27.5325199764982,316.6313152,391.144,615.013,43.832,2e-05,3028.235,108.732,-2.51,0.4147065,1.326,1.044,0.695,0.149,0.156,0.361,0.19,0.076,0.734,29.44,5.84,0.061
"r1_ln_yi","01","LN","YI",1,"alb",15.05484348,94.2820894095387,83.2245042110795,102.088046220956,93.8651956427108,0.776294556916667,0.758677509599749,7.12217252063889,0.00911603519650343,1.1278552697009,0.185211386,0.63158832009226,13.7079672473909,81.2846542814598,509.051259999419,5.92973799940548,534.028985507246,55.272,0.1035,5.865,7.70332480818414,1.09825499348676,27.5325199764982,246.4457625,390.2,1000.992,45.18,7.5e-05,84.2225,38.7485,-3.715,6.671711925,22.588,1.336,0.6555,0.151,0.1935,0.8635,0.213,0.265,0.522,37.375,2.365,0.0055
"r2_hn_ni","02","HN","NI",1,"gib",7.619661552,59.2171818894065,47.2174506424547,53.2437102176941,45.7656815536106,0.572120410583333,0.563325760464478,3.68673251797222,0.0119304569136982,0.969253547807202,0.129346139,0.728468613435616,5.8905445351877,58.9090761495401,457.81947839515,10.0006163772537,568.74883286648,60.913,0.1071,7.357,6.15712926464592,1.29354111601793,27.5325199764982,287.6299972,394.8419903,1054.533,45.298,2e-05,-13.724,37.17,-2.5,7.2274275,23.794,1.111,0.675,0.154,0.171,-0.23,-4.177,4.806,0.371,40.39,2.18,0
"r2_hn_yi","02","HN","YI",1,"gib",8.961430094,72.4738087618993,59.1920634617853,67.1808833617164,58.664603048229,1.39522886666667,1.36578080698136,4.54191095638889,0.0230737150743717,0.99108900108041,0.129400142,0.681229279794916,7.59195946548994,69.2536341575267,560.07518725829,9.12197101055748,604.209979209979,58.125,0.0962,7.132,6.3203869882221,1.18038434408602,27.5325199764982,268.3941178,393.985,1340.955,45.077,0.00011,201.433,36.539,-3.28,7.7723856,26.012,0.735,0.664,0.194,0.143,0.806,0.294,0.378,0.327,40.85,3.45,0.022
"r2_ln_ni","02","LN","NI",1,"alb",12.08010899,76.1226777353446,65.2070995118208,86.2797006469102,77.7582283701851,1.07576428216667,1.05133220806103,5.40084260655556,0.0161229715158615,1.19248101744027,0.25966887,0.775400427739793,14.9334983216185,46.5212059882265,293.152882497408,3.11522491155872,560.990099009901,50.994,0.0909,4.538,9.75650066108418,0.808926932580304,27.5325199764982,303.8228234,391.827,675.484,44.275,9e-05,-14721.465,49.136,-1.14,5.85537975,19.745,1.019,0.659,0.169,0.172,0.635,0.53,0.433,0.038,32.46,3.56,-1.325
"r2_ln_yi","02","LN","YI",1,"alb",13.34448188,79.1303227270007,68.7106810435392,90.885496054543,82.6532766427033,0.534149932,0.526254822534668,6.38492413066667,0.00765899587287167,1.20291744147215,0.346297968,0.806907486687121,13.7030809733329,38.5346814394244,228.503572180939,2.81211805683813,549.787516600266,41.399,0.0753,5.354,8.43051923795293,0.973830768859151,27.5325199764982,315.328956,390.787,684.219,45.137,0.00019,16.785,42.124,-3.16,5.7392352,22.336,0.674,0.571,0.256,0.173,0.382,-0.006,0.001,1.005,36.75,2.39,0.003
"r3_hn_ni","03","HN","NI",1,"gib",11.05651211,80.0988695107162,65.2741050520365,76.8207643594581,66.9839929635278,0.77094643425,0.771217170587852,4.79688976541667,0.0118150554492174,1.02619550141864,0.129609029,0.618307386877223,11.2783043183575,85.3066502797425,618.003777427545,7.56378333761486,599.183168316832,48.414,0.0808,5.874,7.65934627170582,0.980334613954641,27.5325199764982,242.8321882,392.737,1158.334,44.991,8e-05,218.17,40.828,-4.26,6.2334792,21.918,1.854,0.632,0.129,0.239,-0.828,1.506,0.904,-1.41,34.57,1.95,0.017
"r3_hn_yi","03","HN","YI",1,"alb",9.317494729,54.8386224253394,46.4320964933853,66.618745429094,59.5771843364215,0.720829636,0.709519684126822,NA,0.0152808022404911,1.28310347444486,0.167297697,0.740475511386154,8.81973816832547,55.6941003736591,327.790659457431,6.31471131123536,657.209302325581,48.042,0.0731,6.943,6.39867492438427,1.05643665958953,27.5325199764982,291.4778184,393.636,1008.622,44.426,0.00014,41.425,36.718,-3.05,6.07615965,22.847,0.922,0.591,0.213,0.196,0.998,0.04,0.426,0.533,33.88,3.66,0.006
"r3_ln_ni","03","LN","NI",1,"gib",11.14768032,73.566243472311,60.6023125476294,77.3564629332259,67.9340144538317,0.595502898416667,0.59533386843594,NA,0.00982361635074646,1.12098056324897,0.130589686,0.613232483010525,11.769421049416,85.36417125622,563.338849534495,7.25304761362548,575.396341463415,37.746,0.0656,5.45,8.24807339449541,0.947173210406401,27.5325199764982,240.7526199,392.596,650.156,44.952,8e-05,1274.021,30.34,-3.14,6.790014,22.862,0.556,0.66,0.219,0.122,0.349,0.017,0.33,0.653,33.36,1.97,0.102
"r3_ln_yi","03","LN","YI",1,"nvg",7.998978365,67.592227619376,54.4159652493422,61.0049087841468,52.7689328195953,0.785457165833333,0.761616107467289,4.35125774861111,0.0139961885078662,0.969732551426775,0.082442508,0.574178139746951,8.89046533716302,97.0249275410205,819.871074511415,10.913368857696,674.094488188976,51.366,0.0762,6.065,7.39719703215169,0.899725499357552,27.5325199764982,226.6769169,394.785,827.526,44.864,9e-05,146.021,35.431,-2.16,4.1337,24.496,5.968,0.375,0.09,0.536,0.483,0.194,0.143,0.663,29.67,4.36,0.013
