"","variable","n.trt","inoc","emmean","SE","df","lower.CL","upper.CL",".group","compact"
"1","a400","HN","NI",9.36785199056251,0.583419139823002,32.5714285714288,8.18028322358477,10.5554207575402,"A","B"
"2","a400","HN","YI",10.3946508113125,0.583419139823002,32.5714285714286,9.20708204433476,11.5822195782902,"AB","AB"
"3","a400","LN","NI",11.9037447028125,0.583419139823002,32.5714285714286,10.7161759358348,13.0913134697902,"B","A"
"4","a400","LN","YI",12.349045365875,0.583419139823002,32.5714285714286,11.1614765988973,13.5366141328527,"B","A"
"5","vcmax25","HN","NI",56.252742834184,3.74187289605747,32.5714285714285,48.6360380022059,63.8694476661622,"A","A"
"6","vcmax25","HN","YI",62.3655731121398,3.74187289605747,32.5714285714285,54.7488682801616,69.9822779441179,"A","A"
"7","vcmax25","LN","YI",66.9995568451767,3.74187289605747,32.5714285714286,59.3828520131985,74.6162616771548,"A","A"
"8","vcmax25","LN","NI",67.9401874234847,3.74187289605747,32.5714285714285,60.3234825915066,75.5568922554629,"A","A"
"9","jmax25","HN","NI",59.6078183886147,4.09448182178204,24.3257685054434,51.1632080338304,68.0524287433991,"A","B"
"10","jmax25","HN","YI",69.0006230439348,4.09448182178205,24.3257685054433,60.5560126891504,77.4452333987191,"AB","AB"
"11","jmax25","LN","YI",74.1290988890512,4.09448182178205,24.3257685054433,65.6844885342669,82.5737092438355,"AB","AB"
"12","jmax25","LN","NI",76.7152289577289,4.09448182178205,24.3257685054433,68.2706186029445,85.1598393125132,"B","A"
"13","jmax25.vcmax25","HN","NI",1.01486013654814,0.025963642411146,19.8479140459388,0.962095461594918,1.07051861054112,"A","B"
"14","jmax25.vcmax25","HN","YI",1.09159798195312,0.0279268626675584,19.8479140459391,1.03484354789558,1.15146502737278,"AB","AB"
"15","jmax25.vcmax25","LN","YI",1.10830766208232,0.0275458034848232,18.3243773112256,1.0519906493665,1.16763953612143,"B","A"
"16","jmax25.vcmax25","LN","NI",1.1325639518291,0.028148667665497,18.3243773112256,1.07501439166744,1.1931943562106,"B","A"
"17","rd25","LN","YI",0.551171833955865,0.0450174653535137,20.9129283307524,0.465051977264478,0.653239649325271,"A","A"
"18","rd25","LN","NI",0.591241397854315,0.051373079138425,24.5568044742892,0.494282284988318,0.707220147582239,"A","A"
"19","rd25","HN","NI",0.633064597891921,0.0517061320016901,20.9129283307522,0.534149107135534,0.750297584981957,"AB","AB"
"20","rd25","HN","YI",0.813747317630574,0.0664635589504425,20.9129283307524,0.686600395273586,0.964439725798727,"B","B"
"21","rd.vcmax","LN","YI",0.00903791291935937,0.0011826235528185,31.7781036168133,0.00662832770674389,0.0114474981319748,"A","A"
"22","rd.vcmax","LN","NI",0.0110409740691038,0.00122403786841294,33.6586533794934,0.00855250027724365,0.0135294478609639,"AB","AB"
"23","rd.vcmax","HN","NI",0.0122200256218159,0.0011826235528185,31.7781036168137,0.0098104404092004,0.0146296108344314,"AB","AB"
"24","rd.vcmax","HN","YI",0.0145727504917548,0.0011826235528185,31.7781036168134,0.0121631652791393,0.0169823357043702,"B","B"
"25","gs","HN","NI",0.127667532937501,0.0169529529195806,32.5714285714294,0.0931592420345901,0.162175823840411,"A","B"
"26","gs","HN","YI",0.1427312381875,0.0169529529195805,32.5714285714285,0.10822294728459,0.17723952909041,"A","B"
"27","gs","LN","NI",0.2144534411875,0.0169529529195805,32.5714285714285,0.17994515028459,0.24896173209041,"B","A"
"28","gs","LN","YI",0.2210953773125,0.0169529529195805,32.5714285714285,0.18658708640959,0.25560366821541,"B","A"
