obs,id,time..2,elapsed,date,hhmmss,averaging,TIME..7,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo..38,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,ID..64,P1_dur,P2_dur,P3_dur,P1_Qmax,P1_Fmax,P2_dQdt,P3_ΔF,ID..72,Duration,Fo..74,F1,F2,Fmax,T@HIR,T@F1,T@F2,T@Fmax,Qin,Qabs,alpha,convert,S,K,Geometry,Custom,TIME..90,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,ΔCO2,CO2_s_d,CO2_r_d,ΔH2O,CO2_b,H2O_b,e_s,e_r,Td_s,Td_r,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time..141,hhmmss..142,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,Vflow,VPchamber,abs_c_a,abs_c_b,abs_h_a,abs_h_b,Wc_s,Wc_r,Wco_s,Wco_r,Ww_s,Ww_r,Wwo_s,Wwo_r,Flow_s_v,Flow_r_v,Tleaf_mv,Tleaf2_mv,Tleaf_j,Tleaf2_j,Console_RH,Console_T,Console_H2O,Fan_%,Flow_%,Pump,Tchp_pwm,Txchg_pwm,diag_20v,diag_5_4v,diag_12v,diag_5va,diag_3_3vf,AccCO2_soda,AccH2O_hum,AccH2O_des,CO2_hrs,ADC_CH1,ADC_CH2,ADC_CH3,ADC_CH4,ADC_CH5,ADC_CH6,ADC_CH7,ADC_CH8,DAC_1,DAC_2,DAC_3,DAC_4,GPIO,GPIO_dir,excit_5v,power_12v,power_5v,ch1_pullup,AuxPower,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,r14_hn_ni,1634311355,0,10/15/21 10:22,10:22:34,none,1634311355,0.002279299,2.279299038,8.587712052,394.333,246.8714962,22.46029862,35.87630435,0.102892389,2.769489358,0.100814942,0.063192496,241.7086949,27.60764508,26.7329,3.52339479,43.24670159,1.523509932,3.522834982,1.999884858,-100.5170876,-0.403133518,-0.031329812,140.757144,1,0,1,0,48231.31765,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-103-20211015-10_22_33,10390.6,1388.712692,1610.46,0.137691906,0.5,1261.0599,8.587712052,86.8188709,0.0076029,-1,NA,-,0,NA,NA,NA,NA,0.137691906,NA,NA,NA,103,300,300,300,10390.6,1571.06,-0.00737701,-3.87,-,-,-,-,-,-,-,-,-,-,1499.82,1261.0599,0.840807497,0.161158469,6,0.5,0: Broadleaf,2,1634311355,394.333,400.025,16.7456,15.4009,389.792,17.4912,999.984,90.8757,0.104016,26.7302,26.7329,999.9,0,0,10029.4,0,23.5365,-5.6926,401.048,406.282,1.34465,400.025,15.4009,1.52176,1.39957,13.1886,11.9129,1499.82,0.972992,0.0270084,0,1385.72,5.00005,20778.6,12456.6,41.687,43.562,42.75,43.187,43.75,1454.45,40.37,0,1634311357,0,1388.712692,-24.61025643,-377.791453,20828.21538,15,1634311328,10:22:07,1634311323,1634311328,2,0.139,-0.033,4.541,-0.746,400,15,0.33,0.07,-5.633235122,-0.088090453,0.035779142,1,1.337247073,0.046050941,0.004602946,1,2,2,2-Feb,3.82282,2.7075,0.0872468,0.0889424,0.0833313,0.0756368,26756,22467.4,26316.3,24062.2,41184.7,36697.8,47580.3,42884.4,2.6902,1.72415,0.15603,0,24.1747,999.9,44.5,26.828,17.3492,55.4909,48.9383,3,-0.222459,-0.485558,20.2464,5.23511,11.986,4.9574,3.304,877.1,9969.8,2722.8,12.5,1.86814,1.86386,1.87149,1.86227,1.86172,1.86818,1.85835,1.86479,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.541,-0.7456,4.540571429,0,0,0,-0.745695238,0,0,0,-1,-1,-1,-1,0.5,0.5,1.51733,2.33521,2.64893,2.90527,2.84424,2.33765,31.8707,16.1284,18,1186.12,357.604,25.0001,24.4955,30,24.4095,24.354,30.4081,0,100,25,400,22.444,110.032,99.8797
2,r14_hn_ni,1634311463,108.5,10/15/21 10:24,10:24:23,none,1634311463,0.002427048,2.427047679,6.868239444,295.447,185.0424179,16.83550096,26.88031375,0.110024404,2.768143986,0.107651429,0.067491083,241.7485949,27.58506775,26.7319,3.523187445,43.35592861,1.528913546,3.526423248,1.994273899,-107.0328026,2.328084385,0.18103146,137.2249081,0,0,1,0,48191.90416,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-104-20211015-10_24_22,10390,1349.954,1560.82,0.135099499,0.5,1261.2699,6.868239444,85.19846578,0.006238347,-1,NA,-,0,NA,NA,NA,NA,0.135099499,NA,NA,NA,104,300,300,300,10390,1527.61,-0.00737655,-2.79,-,-,-,-,-,-,-,-,-,-,1500.07,1261.2699,0.840807362,0.161158209,6,0.5,0: Broadleaf,2,1634311463,295.447,299.998,16.8046,15.3729,291.393,17.5535,1000.04,90.8779,0.103947,26.7475,26.7319,999.9,0,0,10021.2,0,23.5365,-4.55139,300.497,304.682,1.43172,299.998,15.3729,1.52717,1.39705,13.2429,11.8857,1500.07,0.972997,0.0270027,0,1350.66,5.00005,20256,12458.7,41.75,43.625,42.812,43.187,43.812,1454.7,40.37,0,108,0,1349.954,5.207692306,81.86153865,20248.54,15,1634311436,10:23:55,1634311433,1634311436,3,-0.487,-0.003,4.054,-0.749,300,15,0.67,0.06,-4.5298765,0.025954897,0.049799029,1,1.42495125,0.041284165,0.004041831,1,2,2,2-Feb,3.8229,2.70736,0.0692133,0.0708873,0.0835462,0.0755351,27281.4,22911.4,26313.4,24061.1,41170,36699.8,47575.3,42882.5,2.69287,1.7235,0.153571,0,24.2141,999.9,44.396,26.828,17.3084,55.7209,48.9303,3,-0.220559,-0.463826,20.2464,5.23346,11.986,4.9571,3.304,880.1,9999,2722.8,12.5,1.86818,1.86386,1.87149,1.8622,1.86172,1.86821,1.85837,1.8648,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.054,-0.7489,4.0535,0,0,0,-0.74894,0,0,0,-1,-1,-1,-1,0.5,0.5,1.20728,2.32178,2.64893,2.90527,2.84424,2.33398,31.8927,16.1196,18,1189.96,357.398,24.9997,24.5199,30.0001,24.4299,24.3724,24.2222,0,100,25,300,22.444,110.02,99.8753
3,r14_hn_ni,1634311585,230.5,10/15/21 10:26,10:26:25,none,1634311585,0.002628923,2.628923371,4.694338777,196.803,127.5706807,11.60764476,17.90708726,0.120799421,2.763637757,0.117940863,0.073964235,241.7390189,27.54453281,26.6887,3.514240283,43.70356284,1.542415459,3.529267087,1.971824823,-115.9355207,10.80200981,0.841207921,137.446716,0,0,1,0,48067.07914,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-105-20211015-10_26_24,10389.5,1313.155385,1507.56,0.128953153,0.5,1261.2195,4.694338777,81.31911559,0.004514947,-1,NA,-,0,NA,NA,NA,NA,0.128953153,NA,NA,NA,105,300,300,300,10389.5,1477.74,-0.00737618,-1.17,-,-,-,-,-,-,-,-,-,-,1500.01,1261.2195,0.840807395,0.161158272,6,0.5,0: Broadleaf,2,1634311585,196.803,199.93,16.9515,15.4009,193.361,17.7,1000.01,90.8854,0.10451,26.7612,26.6887,999.9,0,0,9993.75,0,23.5365,-3.12697,200.197,203.057,1.55067,199.93,15.4009,1.54065,1.39971,13.3776,11.9145,1500.01,0.972997,0.0270027,0,1314.32,5.00005,19709.8,12458.2,41.812,43.687,42.875,43.25,43.875,1454.64,40.37,0,121.8,0,1313.155385,7.082393155,116.222222,19696.90385,15,1634311556,10:25:55,1634311543,1634311556,4,-0.612,0,3.442,-0.748,200,15,0.38,0.1,-3.145042195,-0.221594843,0.034650375,0,1.539208293,0.054520348,0.005438791,1,1,2,2-Jan,3.82285,2.70769,0.0487016,0.0502314,0.0840569,0.0756367,27878.8,23419.5,26310,24060.1,41141.6,36694,47570,42881,2.694,1.72228,0.150397,0,24.2229,999.9,44.421,26.858,17.348,55.8509,48.9143,3,-0.218699,-0.461438,20.2465,5.23271,11.986,4.9558,3.304,883.7,9999,2722.8,12.6,1.86814,1.86386,1.87149,1.86222,1.86172,1.86815,1.85837,1.86481,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.442,-0.7485,3.44175,0,0,0,-0.748452381,0,0,0,-1,-1,-1,-1,0.7,0.5,0.880127,2.33887,2.64893,2.90527,2.84424,2.34375,31.9146,16.1109,18,1191.94,356.944,24.9999,24.5459,30.0002,24.4542,24.397,17.6575,0,100,25,200,22.444,110.007,99.8716
4,r14_hn_ni,1634311659,304.5,10/15/21 10:27,10:27:39,none,1634311659,0.002747412,2.747411684,1.821518543,98.7483,72.2274446,6.571980312,8.985114828,0.12676274,2.764905042,0.123620345,0.077538559,241.7741309,27.52668779,26.6905,3.514612685,43.84230975,1.548660107,3.532341513,1.965952577,-121.1608553,12.74476343,0.992127626,134.3501667,0,0,1,0,48099.23259,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-106-20211015-10_27_38,10388.4,1230.308,1387.75,0.11345127,0.5,1261.4043,1.821518543,71.55395993,0.002236807,-1,NA,-,0,NA,NA,NA,NA,0.11345127,NA,NA,NA,106,300,300,300,10388.4,1367.86,-0.00737518,0.08,-,-,-,-,-,-,-,-,-,-,1500.23,1261.4043,0.840807276,0.161158043,6,0.5,0: Broadleaf,2,1634311659,98.7483,100.004,17.0201,15.3997,95.5213,17.7771,999.994,90.8857,0.104371,26.776,26.6905,999.9,0,0,10001.2,0,23.5365,-1.04095,100.677,101.568,1.62899,100.004,15.3997,1.54766,1.39961,13.4473,11.9134,1500.23,0.973003,0.0269971,0,1230.23,5.00005,18460.2,12460,41.875,43.687,42.875,43.25,43.875,1454.86,40.37,0,73.4000001,0,1230.308,-3.666923087,-45.11538473,18460.076,15,1634311682,10:28:02,1634311676,1634311682,5,-0.215,-0.009,3.227,-0.757,100,15,0.47,0.06,-1.03853825,-0.086838034,0.028399639,1,1.61899625,0.054562964,0.005304905,1,2,2,2-Feb,3.82283,2.70761,0.0252218,0.0264515,0.0843224,0.0756308,28564.8,24006,26308.2,24060.3,41125.9,36693.9,47566.6,42881.2,2.69697,1.72253,0.152305,0,24.1933,999.9,44.445,26.848,17.3463,55.7109,48.9503,3,-0.218049,-0.46738,20.2465,5.23361,11.986,4.9568,3.304,885.9,9999,2722.8,12.6,1.86815,1.86386,1.87149,1.8623,1.86173,1.86822,1.85836,1.86482,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.227,-0.757,3.44175,0,0,0,-0.748452381,0,0,0,-1,-1,-1,-1,1.9,1.7,0.532227,2.36206,2.64893,2.90161,2.84424,2.33887,31.9365,16.1109,18,1195.99,357.136,25,24.5562,30.0002,24.4646,24.4072,10.6951,0,100,25,100,22.444,109.999,99.8722
5,r14_hn_ni,1634311785,430.5,10/15/21 10:29,10:29:45,none,1634311785,0.002948539,2.948539483,0.212977061,49.7548,45.5302031,4.143201085,4.527635005,0.137019611,2.760512976,0.133350369,0.083665463,241.7543999,27.48068253,26.6791,3.512254721,44.03401312,1.556191398,3.534066707,1.956063323,-130.0305912,15.65636639,1.220704189,128.6008793,0,0,1,0,47978.47335,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-107-20211015-10_29_44,10387.4,1131.635,1258.22,0.100606412,0.5,1261.3032,0.212977061,63.44759484,0.000961686,-1,NA,-,0,NA,NA,NA,NA,0.100606412,NA,NA,NA,107,300,300,300,10387.4,1237.66,-0.00737459,1.07,-,-,-,-,-,-,-,-,-,-,1500.11,1261.3032,0.840807141,0.161157782,6,0.5,0: Broadleaf,2,1634311785,49.7548,49.9706,17.1012,15.3624,46.6602,17.8606,1000.04,90.8939,0.105059,26.7843,26.6791,999.9,0,0,9974.38,0,23.5921,-0.215752,50.6205,50.7502,1.73875,49.9706,15.3624,1.55439,1.39635,13.514,11.8781,1500.11,0.973003,0.0269971,0,1126.91,5.00005,16936.3,12459,41.875,43.75,42.937,43.312,43.937,1454.75,40.36,0,125.3999999,0,1131.635,-38.60136752,-545.8324786,17004.40769,15,1634311759,10:29:19,1634311758,1634311759,6,-0.132,-0.002,3.095,-0.759,50,15,0.37,0.06,-0.182946153,-0.044716353,0.03992791,1,1.72897275,0.086493096,0.013044905,1,2,2,2-Feb,3.82289,2.70806,0.0124809,0.0134239,0.0846148,0.0755008,28935.2,24326.3,26305.5,24059.5,41108.9,36698.5,47562.7,42881,2.69217,1.72097,0.151627,0,24.193,999.9,44.347,26.868,17.3268,56.3709,48.9062,3,-0.216992,-0.456016,20.247,5.23376,11.986,4.9571,3.304,889.5,9999,2722.8,12.6,1.86814,1.86386,1.87149,1.86224,1.86172,1.86819,1.85837,1.8648,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.095,-0.7594,3.094595238,0,0,0,-0.759395,0,0,0,-1,-1,-1,-1,0.5,0.4,0.356445,2.38037,2.64893,2.89917,2.84424,2.33398,31.9585,16.0846,18,1190.26,356.478,25.0001,24.5727,30,24.483,24.4256,7.17943,0,100,25,50,22.444,109.99,99.8706
6,r14_hn_ni,1634311868,513,10/15/21 10:31,10:31:07,none,1634311868,0.003090074,3.090074197,-1.87841809,-5.82096,15.34586053,1.396444934,-0.529696597,0.144379258,2.757423676,0.140307145,0.088048262,241.7160959,27.45781449,26.6765,3.511717133,44.20006408,1.563493831,3.537311232,1.948223302,-136.2722721,18.34442499,1.43198383,125.2202327,0,0,1,0,47891.89233,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-108-20211015-10_31_06,10385.4,960.1648,1031.56,0.069210904,0.5,1261.1016,-1.87841809,43.6409908,-0.000696548,-1,NA,-,0,NA,NA,NA,NA,0.069210904,NA,NA,NA,108,300,300,300,10385.4,1017.49,-0.00737309,-0.23,-,-,-,-,-,-,-,-,-,-,1499.87,1261.1016,0.84080727,0.161158031,6,0.5,0: Broadleaf,2,1634311868,-5.82096,-6.95881,17.1816,15.3594,-9.09721,17.9409,999.994,90.8932,0.104951,26.7999,26.6765,999.9,0,0,9956.25,0,23.5921,1.13785,-5.92272,-7.06736,1.82224,-6.95881,15.3594,1.56169,1.39606,13.5859,11.8749,1499.87,0.973003,0.0269971,0,948.039,5.00005,14281.7,12457,41.937,43.75,43,43.312,44,1454.51,40.36,0,82,0,960.1648,-100.7588462,-1502.669231,14460.524,15,1634311842,10:30:42,1634311836,1634311842,7,0.182,0,3.276,-0.759,-7,15,0.34,0.04,1.169950707,0.082608502,0.060987563,1,1.790746585,0.428844251,0.095432938,1,2,2,2-Feb,3.82283,2.7078,-0.0024348,-0.00187542,0.0848887,0.0754866,29370,24703.6,26303.4,24059.6,41093.1,36698.8,47559.4,42881.1,2.6918,1.7201,0.147935,0,24.251,999.9,44.323,26.888,17.3377,55.7309,48.8862,3,-0.215938,-0.432181,20.247,5.23391,11.986,4.95635,3.304,891.9,9999,2722.8,12.6,1.86816,1.86387,1.87155,1.86232,1.86173,1.86829,1.85837,1.86487,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,3.276,-0.7593,3.2762555,0,0,0,-0.7593,0,0,0,-1,-1,-1,-1,0.5,0.4,0.032959,4.99756,2.64893,2.89917,2.84424,2.35474,32.0024,16.0846,18,1190.1,356.133,25.0005,24.5872,30.0003,24.4973,24.4399,0,0,100,25,0,22.444,109.982,99.8709
7,r14_hn_ni,1634311951,596.5,10/15/21 10:32,10:32:31,none,1634311951,0.003239435,3.239435103,9.023948893,394.007,285.4948613,25.98006121,35.85467679,0.153213993,2.763825876,0.148647045,0.093303386,241.7543999,27.41702854,26.6253,3.501145415,44.47338645,1.573291646,3.537602534,1.927853769,-142.859088,26.22459499,2.041866778,127.1617737,0,0,1,0,48065.99085,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-109-20211015-10_32_30,10387.6,1132.826,1308.19,0.134050864,0.5,1261.3032,9.023948893,84.53939197,0.007947295,-1,NA,-,0,NA,NA,NA,NA,0.134050864,NA,NA,NA,109,300,300,300,10387.6,1275.59,-0.00737469,-2.64,-,-,-,-,-,-,-,-,-,-,1500.11,1261.3032,0.840807141,0.161157782,6,0.5,0: Broadleaf,2,1634311951,394.007,400.187,17.2889,15.3789,389.457,18.0399,1000.03,90.8955,0.104601,26.8013,26.6253,999.9,0,0,9993.75,0,23.5365,-7.45328,399.639,406.437,1.90167,400.187,15.3789,1.57072,1.39787,13.6746,11.8946,1500.11,0.973003,0.0269971,0,1137.99,5.00005,17129.3,12459,42,43.812,43,43.375,44.062,1454.75,40.36,0,82.79999995,0,1132.826,47.23769223,710.8538451,17054.624,15,1634311978,10:32:58,1634311978,1634311973,8,1.274,0.009,4.55,-0.751,401,15,0.24,0.05,-7.46639225,-0.053823377,0.024363166,1,1.8881235,0.070882627,0.006872734,1,2,2,2-Feb,3.82287,2.70777,0.0871873,0.0889642,0.0852275,0.0755545,26742.3,22463.5,26301.6,24059.1,41077.7,36697.6,47556.7,42880.5,2.69338,1.72273,0.143081,0,24.2794,999.9,44.299,26.898,17.3397,56.0609,48.8542,3,-0.213798,-0.406781,20.2467,5.23481,11.986,4.95735,3.304,894.4,9999,2722.8,12.7,1.86813,1.86386,1.87151,1.86227,1.86172,1.86821,1.85837,1.86481,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.55,-0.751,3.2762555,0,0,0,-0.7593,0,0,0,-1,-1,-1,-1,1.9,1.8,1.52466,2.34497,2.64893,2.90649,2.84424,2.32544,32.0464,16.0846,18,1192.59,357.587,24.9999,24.6148,30.0002,24.5191,24.4605,30.5685,0,100,25,400,22.444,109.975,99.8692
8,r14_hn_ni,1634312061,706,10/15/21 10:34,10:34:20,none,1634312061,0.003380297,3.380296994,8.390920872,394.199,296.6533105,26.99515134,35.87171046,0.161132762,2.758076976,0.156079743,0.097990633,241.7384399,27.37726917,26.5875,3.493358354,44.59667875,1.577458374,3.537165588,1.915899979,-149.0710974,31.4784025,2.455550569,126.6012956,1,0,1,0,47909.79778,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-110-20211015-10_34_19,10386.8,1090.708077,1246.98,0.125320312,0.5,1261.2192,8.390920872,79.02819203,0.007445907,-1,NA,-,0,NA,NA,NA,NA,0.125320312,NA,NA,NA,110,300,300,300,10386.8,1213.67,-0.00737422,-2.71,-,-,-,-,-,-,-,-,-,-,1500.01,1261.2192,0.840807195,0.161157886,6,0.5,0: Broadleaf,2,1634312061,394.199,400.033,17.3349,15.3419,389.644,18.0845,1000.01,90.8941,0.104889,26.7992,26.5875,999.9,0,0,9960,0,23.5365,-5.8334,401.153,406.266,1.99301,400.033,15.3419,1.57564,1.39449,13.7226,11.8578,1500.01,0.973003,0.0269971,0,1084.84,5.00005,16339.5,12458.2,42,43.812,43.062,43.375,44.062,1454.65,40.36,0,108.8,0,1090.708077,-46.97128203,-701.3538462,16426.42308,15,1634312033,10:33:53,1634312033,1634312033,9,0.005,0.001,4.556,-0.75,400,15,0.81,0.05,-5.88481122,-0.062669477,0.043373126,1,1.989433171,0.023206411,0.002491539,1,2,2,2-Feb,3.82285,2.70777,0.0872113,0.0889289,0.0853733,0.075415,26738.1,22462.2,26298.2,24056.9,41065.7,36700.6,47550.5,42877.6,2.68805,1.72158,0.141189,0,24.2726,999.9,44.177,26.898,17.2921,56.2309,48.8622,3,-0.211067,-0.384052,20.2468,5.23496,11.986,4.9559,3.304,897.3,9999,2722.8,12.7,1.86816,1.86386,1.87149,1.86232,1.86172,1.86823,1.85837,1.86482,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,4.555,-0.7496,4.555761905,0,0,0,-0.74961,0,0,0,-1,-1,-1,-1,0.5,0.5,1.521,2.33276,2.64893,2.90527,2.84424,2.30957,32.0684,16.0846,18,1186.54,357.226,25.0001,24.6534,30.0003,24.5516,24.4937,30.484,0,100,25,400,22.444,109.961,99.8618
9,r14_hn_ni,1634312173,818,10/15/21 10:36,10:36:12,none,1634312173,0.003255317,3.25531692,10.24589334,592.714,465.4959199,42.35922425,53.93582236,0.154517122,2.764434977,0.149874415,0.094077018,241.7288639,27.42108011,26.564,3.488524818,44.27069507,1.566922843,3.53941324,1.921601975,-143.5594762,36.66290974,2.85322187,137.6855193,2,0,1,0,48081.15558,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-111-20211015-10_36_11,10386.3,1048.959615,1206.25,0.130396174,0.5,1261.1688,10.24589334,82.225793,0.008917041,-1,NA,-,0,NA,NA,NA,NA,0.130396174,NA,NA,NA,111,300,300,300,10386.3,1178.5,-0.0073738,-1.69,-,-,-,-,-,-,-,-,-,-,1499.95,1261.1688,0.840807227,0.161157948,6,0.5,0: Broadleaf,2,1634312173,592.714,600.019,17.2193,15.2998,587.467,17.9685,1000.03,90.8941,0.103957,26.81,26.564,999.9,0,0,9997.5,0,23.5838,-7.30554,603.099,609.342,1.91949,600.019,15.2998,1.56513,1.39066,13.6197,11.8162,1499.95,0.973003,0.0269971,0,1046.35,5.00005,15768.1,12457.7,42.062,43.875,43.062,43.437,44.062,1454.59,40.36,0,111.4000001,0,1048.959615,-20.15418806,-296.786325,15805.16923,15,1634312146,10:35:46,1634312139,1634312146,10,0.69,0,5.246,-0.749,600,15,0.23,0.04,-7.24086878,-0.053681185,0.054978342,1,1.932598537,-0.032632892,0.012720337,1,2,2,2-Feb,3.82286,2.70717,0.117942,0.119534,0.0849655,0.075257,25834,21706.2,26294.1,24055.1,41079.6,36706.1,47544.2,42876,2.68613,1.73188,0.140116,0,24.2666,999.9,44.054,26.929,17.2742,55.8308,48.6258,3,-0.207663,-0.361182,20.2465,5.23421,11.986,4.9571,3.304,900.6,9999,2722.8,12.7,1.86815,1.86386,1.87149,1.86227,1.86172,1.86821,1.85837,1.86481,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.247,-0.7492,5.246190476,0,0,0,-0.749195,0,0,0,-1,-1,-1,-1,0.6,0.4,2.09229,2.33765,2.64893,2.90527,2.84424,2.32178,32.0904,16.0758,18,1184.94,362.694,25,24.6969,30.0002,24.5896,24.5324,41.9046,0,100,25,600,22.444,109.945,99.8567
10,r14_hn_ni,1634312295,940.0999999,10/15/21 10:38,10:38:14,none,1634312295,0.002778835,2.778834965,11.28903195,791.882,624.0648835,56.79139716,72.06315618,0.129193548,2.764507626,0.125930695,0.078992975,241.7208839,27.55521033,26.5685,3.489449937,43.41128326,1.536811995,3.540121092,1.952637941,-122.546622,36.49992909,2.840575874,158.5147669,0,0,1,0,48082.67332,RECT-102-20211014-17_23_28,10397.3,0,0,NA,-1,MPF-112-20211015-10_38_14,10386.1,1033.827692,1198.83,0.137636118,0.5,1261.1268,11.28903195,86.78829871,0.009744486,-1,NA,-,0,NA,NA,NA,NA,0.137636118,NA,NA,NA,112,300,300,300,10386.1,1167.44,-0.00737373,-1.5,-,-,-,-,-,-,-,-,-,-,1499.9,1261.1268,0.840807254,0.161158,6,0.5,0: Broadleaf,2,1634312295,791.882,799.976,16.8876,15.2484,785.966,17.6409,999.966,90.898,0.104392,26.8134,26.5685,999.9,0,0,9997.5,0,23.5921,-8.09399,805.485,812.364,1.63922,799.976,15.2484,1.53505,1.38605,13.3218,11.7658,1499.9,0.973003,0.0269971,0,1032.68,5.00005,15564.6,12457.3,42.062,43.937,43.125,43.437,44.062,1454.54,40.36,0,121.8,0,1033.827692,-8.459487167,-135.4188033,15582.06154,15,1634312254,10:37:33,1634312247,1634312254,11,0.67,-0.004,5.916,-0.753,800,15,0.29,0.07,-8.166067561,0.25816223,0.068185208,0,1.666994878,-0.158682648,0.015708373,1,1,2,2-Jan,3.82278,2.7076,0.143853,0.145293,0.0838278,0.0750697,25071.7,21070.2,26290.3,24053.7,41127,36712.1,47538.1,42873.7,2.68905,1.73315,0.142019,0,24.2399,999.9,43.932,26.959,17.2575,55.7072,48.5897,3,-0.205279,-0.360343,20.2467,5.23361,11.986,4.9564,3.304,904.2,9999,2722.8,12.8,1.86814,1.86386,1.87149,1.86232,1.86172,1.86821,1.85837,1.86484,5,0,0,0,11111111,oooooooo,off,off,off,off,0,100,100,5.916,-0.7533,5.916428571,0,0,0,-0.753295238,0,0,0,-1,-1,-1,-1,0.8,0.7,2.61841,2.32422,2.64893,2.89917,2.84424,2.33154,32.1124,16.0671,18,1189.43,363.564,24.9997,24.7332,30.0002,24.6244,24.5654,52.4164,0,100,25,800,22.444,109.93,99.8511
