obs,machine,id,time..2,elapsed,date,hhmmss,averaging,TIME..7,E,Emm,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Qmax_d,Fo,Fm,Fv/Fm,A_dark,LightAdaptedID,Qmax,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,A_fs,ETR,PhiCO2,NPQ,alt. Fo',DarkPulseID,Fmin,Fo',Fv'/Fm',qP,qN,qP_Fo,qN_Fo,qL,1-qL,Qin,Qabs,alpha,convert,S,K,Geometry,TIME..71,CO2_s,CO2_r,H2O_s,H2O_r,CO2_a,H2O_a,Flow,Pa,ΔPcham,Tair,Tleaf,Tleaf2,Offset,Offset2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,state,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,time..112,hhmmss..113,co2_t,h2o_t,count,co2_adj,h2o_adj,co2_match,h2o_match,co2_at,h2o_at,co2_cv,h2o_cv,ΔCO2:MN,ΔCO2:SLP,ΔCO2:SD,ΔCO2:OK,F:MN,F:SLP,F:SD,F:OK,ΔH2O:MN,ΔH2O:SLP,ΔH2O:SD,ΔH2O:OK,Stable,Total,State,MatchValveR,MatchValveS,MatchCO2,MatchH2O,cf_co2_a,cf_co2_b,cf_co2_c,cf_co2_d,cf_h2o_a,cf_h2o_b,cf_h2o_c,cf_h2o_d,co2_fit_low,co2_fit_high,h2o_fit_low,h2o_fit_high,co2_elapsed,h2o_elapsed,CO2_f,CO2_f_s,Pump_f,Pump_f_s,Pump_p,Pump_p_s,Tboard,V_system,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,alb,r14_hn_yi,1634250021,0,10/14/21 17:20,17:20:20,none,1634250021,0.000255276,0.255275986,-0.398832359,400.205,431.8786454,38.81440873,35.96779005,0.014820108,2.741266528,0.01477574,0.009238813,0,25.22729713,24.755,3.133528419,50.11081715,1.621891596,3.236609755,1.511636823,-11.25767098,80.24842846,6.193861482,75.18461897,0,0,1,0,47668.78393,RECT-1328-20211014-17_20_23,10220.3,2.593846154,0.34,-6.628959276,-0.398832359,-,-,0,0,NA,0.5,0,-0.398832359,NA,NA,NA,NA,-,0,NA,NA,NA,NA,0,-0.150853242,NA,NA,0,0,0,0,6,0.5,0: Broadleaf,1634250021,400.205,400.027,18.0464,17.896,397.958,17.9338,1000.01,89.7731,0.100315,25.298,24.755,999.9,0,0,9984.38,0,0.00152894,0,0,0,0,0.2,0,-5.12,-2.42,36.5,41.375,37.75,41.187,36.312,0,0,0,5989,0,2.593846154,-3.125470075,5.293675228,-4.285384615,15,1634249980,17:19:40,1634249979,1634249980,134,0.017,-0.002,2.247,0.109,400,18,0.33,0.21,0.238182195,-0.106018369,0.028666816,1,2.763939394,-0.628106849,1.719383151,1,0.150567098,0.014737505,0.001610542,1,3,3,3-Mar,100,100,2.247,0.1126,1.633728501,0.001948428,-1.17E-06,3.75E-10,-0.055020867,0.001324991,0.000451987,-2.62E-07,2,2078,1,28,0.7,0.7,1.61743,2.5415,2.84912,3.17505,3.09814,2.39868,33.9187,15.5855,18,1062.16,742.484,24.9998,23.9612,30,23.7059,23.7765,32.3947,15.7125,43.2948,25,400,17.9082,101.3,101.598
2,alb,r14_hn_yi,1634250026,5,10/14/21 17:20,17:20:25,none,1634250026,0.000300431,0.300431446,-0.473564724,400.184,435.8955304,39.17541655,35.96589963,0.015632573,2.746332984,0.015583306,0.00974398,0,25.41124485,25.6706,3.309045623,49.59152291,1.623922597,3.274597151,1.685123026,-13.24902676,-26.10303157,-2.022282544,-41.37434087,0,0,1,0,47775.07217,RECT-1329-20211014-17_20_28,10224.5,2.554369231,1.3,-0.964899408,-0.473564724,-,-,0,0,NA,0.5,0,-0.473564724,NA,NA,NA,NA,-,0,NA,NA,NA,NA,0,-1.036377462,NA,NA,0,0,0,0,6,0.5,0: Broadleaf,1634250026,400.184,399.972,18.069,17.892,397.936,17.956,1000.01,89.7736,0.0998073,25.4943,25.6706,999.9,0,0,10014.4,0,0.00154805,0,0,0,0,2.05,0,-1.03,-1.44,36.937,41.375,37.812,41.125,36.375,0,0,0,4.299999952,0,2.554369231,-10.0206607,277961.9832,25388.31385,15,1634249980,17:19:40,1634249979,1634249980,134,0.017,-0.002,2.247,0.109,400,18,0.33,0.21,0.224356268,-0.049769226,0.026072247,1,2.570674286,-3.295861843,1.759821214,0,0.152337,0.022389512,0.003689016,1,2,3,3-Feb,100,100,2.248,0.113,1.633728501,0.001948428,-1.17E-06,3.75E-10,-0.055020867,0.001324991,0.000451987,-2.62E-07,2,2078,1,28,0.8,0.8,1.61743,2.53418,2.84912,3.17505,3.09814,2.3938,33.9187,15.5943,18,1061.66,742.577,24.9997,23.9612,30,23.7059,23.7765,32.395,15.7125,43.2948,25,400,17.9556,101.299,101.597
3,alb,r14_hn_yi,1634250031,10,10/14/21 17:20,17:20:30,none,1634250031,0.000334904,0.334903859,-0.434033826,400.18,428.3659356,38.49796629,35.9648489,0.016811379,2.743466489,0.016754357,0.01047658,0,25.51023235,25.9887,3.372002872,49.32064918,1.625500089,3.295779995,1.746502783,-14.76926019,-57.06204428,-4.434886618,-76.26619109,0,0,1,0,47679.82097,RECT-1330-20211014-17_20_33,10222.4,2.004292308,1.58,-0.268539435,-0.434033826,-,-,0,0,NA,0.5,0,-0.434033826,NA,NA,NA,NA,-,0,NA,NA,NA,NA,0,-3.723847855,NA,NA,0,0,0,0,6,0.5,0: Broadleaf,1634250031,400.18,400,18.0869,17.8896,397.933,17.9736,1000.04,89.7725,0.09918,25.6029,25.9887,999.9,0,0,9997.5,0,0.0016245,0,0,0,0,3.83,0,-4.58,-1.98,35.687,41.375,37.937,41.312,36.437,0,0,0,4.5,0,2.004292308,5.334701885,141755.9686,50573.72885,15,1634249980,17:19:40,1634249979,1634249980,134,0.017,-0.002,2.247,0.109,400,18,0.33,0.21,0.218466366,0.009797164,0.023903925,1,2.496331429,-3.914162757,1.676269157,0,0.160530244,0.114944362,0.013892537,0,1,3,3-Jan,100,100,2.247,0.1133,1.633728501,0.001948428,-1.17E-06,3.75E-10,-0.055020867,0.001324991,0.000451987,-2.62E-07,2,2078,1,28,0.9,0.8,1.61743,2.53296,2.84912,3.17505,3.09814,2.43164,33.9187,15.5943,18,1062.13,742.785,24.9998,23.9612,30,23.7059,23.7765,32.3958,15.3665,43.2948,25,400,18.0967,101.299,101.598
4,alb,r14_hn_yi,1634250036,15,10/14/21 17:20,17:20:35,none,1634250036,0.000264628,0.264627942,-0.454219176,400.131,441.9511267,39.71963024,35.96111517,0.013145074,2.746026315,0.013110216,0.008197009,0,25.586644,26.0875,3.391768765,49.24066228,1.628352397,3.306926271,1.763416368,-11.67009223,-63.31832072,-4.920384096,-79.90879705,0,0,1,0,47740.28422,RECT-1331-20211014-17_20_38,10221.2,1.769481481,0.31,-4.708004779,-0.454219176,-,-,0,0,NA,0.5,0,-0.454219176,NA,NA,NA,NA,-,0,NA,NA,NA,NA,0,-0.212404202,NA,NA,0,0,0,0,6,0.5,0: Broadleaf,1634250036,400.131,399.922,18.1183,17.9624,397.884,18.0045,1000,89.7743,0.0990544,25.6598,26.0875,999.9,0,0,10012.5,0,0.00154805,0,0,0,0,1.54,0,-9.19,-2.84,37.25,41.375,37.812,41.25,36.5,0,0,0,4.699999809,0,1.769481481,-6.774991644,-329960.4971,72807.58213,15,1634249980,17:19:40,1634249979,1634249980,134,0.017,-0.002,2.247,0.109,400,18,0.33,0.21,0.216359171,-0.164469387,0.024995648,1,1.8276,-2.654595928,1.461231418,0,0.168163098,0.132133463,0.016566349,0,1,3,3-Jan,100,100,2.247,0.1138,1.633728501,0.001948428,-1.17E-06,3.75E-10,-0.055020867,0.001324991,0.000451987,-2.62E-07,2,2078,1,28,0.9,0.9,1.61743,2.5354,2.84912,3.17505,3.09814,2.45361,33.9187,15.5855,18,1061.34,743.156,24.9999,23.9612,30,23.7059,23.7767,32.4002,14.7985,43.2948,25,400,18.1689,101.299,101.598
5,alb,r14_hn_yi,1634250041,20,10/14/21 17:20,17:20:40,none,1634250041,0.000247168,0.247168453,-0.402230015,400.094,439.045557,39.4584151,35.95771528,0.012288574,2.741891403,0.012258059,0.007664022,0,25.63087699,26.1115,3.396585445,49.33003429,1.635134444,3.314683372,1.761451001,-10.9001288,-60.93175409,-4.743578896,-76.57546178,0,0,1,0,47621.69114,RECT-1332-20211014-17_20_43,10220.3,1.4124,1.47,0.039183673,-0.402230015,-,-,0,0,NA,0.5,0,-0.402230015,NA,NA,NA,NA,-,0,NA,NA,NA,NA,0,25.52083333,NA,NA,0,0,0,0,6,0.5,0: Broadleaf,1634250041,400.094,399.912,18.1938,18.0482,397.847,18.0787,1000.02,89.7728,0.100368,25.6993,26.1115,999.9,0,0,9988.12,0,0.0016245,0,0,0,0,0.58,0,-1.32,-2.15,37.375,41.437,37.812,41.25,36.562,0,0,0,4.299999952,0,1.4124,-7.200972458,-242993.1011,72366.34065,15,1634249980,17:19:40,1634249979,1634249980,134,0.017,-0.002,2.247,0.109,400,18,0.33,0.21,0.208371732,-0.002326432,0.016841117,1,1.6432,-5.179462208,1.444264871,0,0.167294488,-0.020116369,0.01764665,1,2,3,3-Feb,100,100,2.247,0.1151,1.633728501,0.001948428,-1.17E-06,3.75E-10,-0.055020867,0.001324991,0.000451987,-2.62E-07,2,2078,1,28,1,1,1.61743,2.53662,2.84912,3.17505,3.09814,2.44873,33.9187,15.5855,18,1062.33,743.27,25.0001,23.9612,30,23.7059,23.7782,32.4028,14.1886,43.6715,25,400,18.2673,101.298,101.597
6,alb,r14_hn_yi,1634250046,25,10/14/21 17:20,17:20:45,none,1634250046,0.000259739,0.259739382,-0.420582782,400.104,438.8040194,39.43619132,35.95814349,0.012912958,2.740919541,0.012879256,0.008052556,0,25.66247518,26.145,3.403318715,49.42569,1.641718639,3.321589723,1.761600075,-11.45450676,-60.67372733,-4.726793004,-76.85502709,0,0,1,0,47589.69985,RECT-1333-20211014-17_20_48,10219.6,1.051153846,0.47,-1.236497545,-0.420582782,-,-,0,0,NA,0.5,0,-0.420582782,NA,NA,NA,NA,-,0,NA,NA,NA,NA,0,-0.808735936,NA,NA,0,0,0,0,6,0.5,0: Broadleaf,1634250046,400.104,399.914,18.2673,18.1143,397.857,18.151,999.979,89.7715,0.100492,25.7344,26.145,999.9,0,0,9982.5,0,0.00152894,0,0,0,0,1.8,0,1,-0.68,37.562,41.437,37.812,41.25,36.625,0,0,0,3.899999857,0,1.051153846,1.952624884,-247199.3824,74788.90722,15,1634249980,17:19:40,1634249979,1634249980,134,0.017,-0.002,2.247,0.109,400,18,0.33,0.21,0.199972707,-0.141867847,0.021994373,1,1.381888889,-3.888878647,1.451749931,0,0.164575341,-0.17255354,0.020082495,0,1,3,3-Jan,100,100,2.247,0.1163,1.633728501,0.001948428,-1.17E-06,3.75E-10,-0.055020867,0.001324991,0.000451987,-2.62E-07,2,2078,1,28,1.1,1.1,1.61865,2.53662,2.84912,3.17505,3.09814,2.44141,33.9413,15.5768,18,1062.91,743.483,25.0002,23.9612,30,23.7064,23.7784,32.4071,13.5995,43.6715,25,400,18.2881,101.299,101.597
7,alb,r14_hn_yi,1634250051,30,10/14/21 17:20,17:20:50,none,1634250051,0.000273345,0.273345037,-0.371036819,400.108,430.4181825,38.68292381,35.95886027,0.013626289,2.745668923,0.013588831,0.008496376,0,25.69083087,26.1481,3.403942382,49.48805807,1.64691163,3.327897062,1.757030752,-12.05451614,-56.50095278,-4.394872274,-72.95034119,0,0,1,0,47713.50401,RECT-1334-20211014-17_20_53,10219,1.321881481,0.64,-1.065439815,-0.371036819,-,-,0,0,NA,0.5,0,-0.371036819,NA,NA,NA,NA,-,0,NA,NA,NA,NA,0,-0.938579529,NA,NA,0,0,0,0,6,0.5,0: Broadleaf,1634250051,400.108,399.951,18.3249,18.1639,397.861,18.2076,1000.01,89.7723,0.100585,25.7664,26.1481,999.9,0,0,10010.6,0,0.00152894,0,0,0,0,0.1,0,0.42,-1.28,36.937,41.5,38,41.312,36.687,0,0,0,4.099999905,0,1.321881481,5.401181404,-203026.7034,71612.24948,15,1634249980,17:19:40,1634249979,1634249980,134,0.017,-0.002,2.247,0.109,400,18,0.33,0.21,0.194294927,-0.051385213,0.020115023,1,1.295005714,4.136550711,1.828146061,0,0.157611976,-0.126359477,0.017659206,0,1,3,3-Jan,100,100,2.247,0.1173,1.633728501,0.001948428,-1.17E-06,3.75E-10,-0.055020867,0.001324991,0.000451987,-2.62E-07,2,2078,1,28,1.2,1.2,1.61865,2.54028,2.84912,3.17505,3.09814,2.40967,33.9413,15.5592,18,1062.3,743.437,25,23.9612,30,23.7069,23.7784,32.4091,13.313,44.0456,25,400,18.2834,101.298,101.597
8,alb,r14_hn_yi,1634250056,35,10/14/21 17:20,17:20:55,none,1634250056,0.000241293,0.241292581,-0.399908344,400.102,439.9421196,39.53915661,35.95858394,0.012015258,2.748858467,0.011986157,0.007493957,0,25.7280653,26.1758,3.409519586,49.53435239,1.651219627,3.33348383,1.758299959,-10.64100283,-56.47767003,-4.389196933,-71.50786979,0,0,1,0,47795.61963,RECT-1335-20211014-17_20_58,10218.4,1.532461538,1.57,0.023909848,-0.399908344,-,-,0,0,NA,0.5,0,-0.399908344,NA,NA,NA,NA,-,0,NA,NA,NA,NA,0,41.82377049,NA,NA,0,0,0,0,6,0.5,0: Broadleaf,1634250056,400.102,399.92,18.3727,18.2306,397.855,18.2545,1000.11,89.7737,0.0998421,25.7947,26.1758,999.9,0,0,10029.4,0,0.0016245,0,0,0,0,2.22,0,-2.15,-1.64,36.625,41.5,38.062,41.312,36.812,0,0,0,4.299999952,0,1.532461538,1.488137169,-338248.0992,73907.63523,15,1634249980,17:19:40,1634249979,1634249980,134,0.017,-0.002,2.247,0.109,400,18,0.33,0.21,0.187147098,-0.130432955,0.024616187,1,1.403611429,3.002099379,1.785813601,0,0.150957,0.031860355,0.00697776,1,2,3,3-Feb,100,100,2.247,0.1182,1.633728501,0.001948428,-1.17E-06,3.75E-10,-0.055020867,0.001324991,0.000451987,-2.62E-07,2,2078,1,28,1.3,1.3,1.61865,2.53784,2.84912,3.17505,3.09814,2.41089,33.9413,15.5768,18,1062.02,743.691,25,23.9612,30,23.7069,23.7784,32.4114,12.8824,44.0456,25,400,18.3825,101.298,101.597
9,alb,r14_hn_yi,1634250061,40,10/14/21 17:21,17:21:00,none,1634250061,0.000270329,0.270328948,-0.344837449,400.11,427.8038434,38.44766996,35.9587635,0.013489106,2.740302154,0.013452326,0.008411,0,25.74533182,26.1899,3.412361587,49.64133149,1.657288192,3.338524858,1.755073396,-11.92150659,-54.61769224,-4.258746972,-70.7979458,0,0,1,0,47559.309,RECT-1336-20211014-17_21_03,10217.8,1.657674074,1.06,-0.563843466,-0.344837449,-,-,0,0,NA,0.5,0,-0.344837449,NA,NA,NA,NA,-,0,NA,NA,NA,NA,0,-1.773541878,NA,NA,0,0,0,0,6,0.5,0: Broadleaf,1634250061,400.11,399.968,18.4405,18.2813,397.863,18.3211,1000.04,89.7723,0.0998939,25.8202,26.1899,999.9,0,0,9978.75,0,0.0016245,0,0,0,0,-0.47,0,-2.42,-1.54,38,41.5,37.937,41.375,36.937,0,0,0,4.5,0,1.657674074,-2.34731827,-277600.785,70749.19837,15,1634249980,17:19:40,1634249979,1634249980,134,0.017,-0.002,2.247,0.109,400,18,0.33,0.21,0.174879829,-0.073021631,0.023147392,1,1.506482353,1.41936077,1.809554662,0,0.148829829,0.00427315,0.007894127,1,2,3,3-Feb,100,100,2.247,0.1194,1.633728501,0.001948428,-1.17E-06,3.75E-10,-0.055020867,0.001324991,0.000451987,-2.62E-07,2,2078,1,28,1.4,1.3,1.61865,2.53296,2.84912,3.17505,3.09814,2.45239,33.9413,15.5768,18,1062.47,743.783,25.0002,23.9612,30.0001,23.7079,23.7784,32.4136,12.6101,44.0456,25,400,18.3744,101.299,101.599
10,alb,r14_hn_yi,1634250066,45,10/14/21 17:21,17:21:05,none,1634250066,0.000309894,0.309893851,-0.415670819,400.141,429.8861771,38.63360227,35.96042178,0.015482517,2.742567722,0.015434123,0.009650662,0,25.76114167,26.1956,3.413511069,49.64409083,1.660004196,3.343810246,1.753506873,-13.66631881,-51.55784436,-4.017490922,-69.2416541,0,0,1,0,47616.44481,RECT-1337-20211014-17_21_08,10217.3,1.575261538,2.01,0.216287792,-0.415670819,-,-,0,0,NA,0.5,0,-0.415670819,NA,NA,NA,NA,-,0,NA,NA,NA,NA,0,4.62346946,NA,NA,0,0,0,0,6,0.5,0: Broadleaf,1634250066,400.141,399.966,18.4713,18.2888,397.894,18.3514,1000.01,89.7695,0.0998755,25.8469,26.1956,999.9,0,0,9992.5,0,0.00154805,0,0,0,0,2.03,0,0.4,-1.21,36.5,41.562,38.062,41.375,37,0,0,0,4.699999809,0,1.575261538,1.680858644,-423258.2938,73011.64637,15,1634249980,17:19:40,1634249979,1634249980,134,0.017,-0.002,2.247,0.109,400,18,0.33,0.21,0.165401512,-0.191963017,0.027926303,1,1.621444444,-3.052856226,1.748431953,0,0.154607293,0.032254369,0.010134285,1,2,3,3-Feb,100,100,2.247,0.1199,1.633728501,0.001948428,-1.17E-06,3.75E-10,-0.055020867,0.001324991,0.000451987,-2.62E-07,2,2078,1,28,1.4,1.4,1.61865,2.53418,2.84912,3.17505,3.09814,2.45483,33.9413,15.5768,18,1062.81,743.783,25.0001,23.9606,30,23.7079,23.7784,32.4145,12.1778,44.4214,25,400,18.4407,101.299,101.596
