Station_ID,Date_Time,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_since_local_midnight_set_1,solar_radiation_set_1,precip_accum_set_1,precip_accum_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,pressure_set_1d,sea_level_pressure_set_1d,heat_index_set_1d
,,Pascals,Celsius,%,m/s,Degrees,m/s,Millimeters,W/m**2,Millimeters,Millimeters,Celsius,Celsius,code,Pascals,Pascals,Celsius
E3644,07/14/2021 07:03 CDT,102268.89,19.44,81,1.79,0,4.92,0,23,,0,16.07,,N,90904.18,101821.38,
E3644,07/14/2021 07:08 CDT,102302.75,19.44,81,1.79,0,4.92,0,35,,0,16.07,,N,90934.28,101855.1,
E3644,07/14/2021 07:13 CDT,102302.75,19.44,81,2.23,0,4.92,0,51,,0,16.07,,N,90934.28,101855.1,
E3644,07/14/2021 07:18 CDT,102302.75,19.44,81,1.79,0,4.92,0,65,,0,16.07,,N,90934.28,101855.1,
E3644,07/14/2021 07:23 CDT,102302.75,19.44,81,1.79,0,5.37,0,81,,0,16.07,,N,90934.28,101855.1,
E3644,07/14/2021 07:28 CDT,102302.75,19.44,81,1.34,0,4.47,0,97,,0,16.07,,N,90934.28,101855.1,
E3644,07/14/2021 07:33 CDT,102302.75,19.44,81,1.34,0,4.92,0,120,,0,16.07,,N,90934.28,101855.1,
E3644,07/14/2021 07:38 CDT,102302.75,19.44,81,1.34,0,4.02,0,139,,0,16.07,,N,90934.28,101855.1,
E3644,07/14/2021 07:43 CDT,102268.89,20,81,1.79,0,6.26,0,155,,0,16.62,,N,90904.18,101799.52,
E3644,07/14/2021 07:48 CDT,102302.75,20,81,2.23,0,6.7,0,174,,0,16.62,,N,90934.28,101833.23,
E3644,07/14/2021 07:53 CDT,102302.75,20,81,1.79,0,6.7,0,192,,0,16.62,,N,90934.28,101833.23,
E3644,07/14/2021 07:58 CDT,102302.75,20,81,1.34,0,4.47,0,213,,0,16.62,,N,90934.28,101833.23,
E3644,07/14/2021 08:03 CDT,102302.75,20,81,1.79,0,4.92,0,229,,0,16.62,,N,90934.28,101833.23,
E3644,07/14/2021 08:08 CDT,102268.89,20.56,81,2.23,0,6.26,0,246,,0,17.17,,N,90904.18,101777.75,
